"FID" "IID" "O.HOM." "E.HOM." "N.NM." "F" "HET_RATE" "HET_DST"
786601 786601 63578 63660 64192 -0.1625 0.00956505483549352 3.45271956633428
822701 822701 63630 63560 64060 0.134 0.00671245707149547 -3.16232097851326
500401 500401 63603 63530 64036 0.1493 0.00676182147542008 -3.04784723897845
682801 682801 63567 63640 64175 -0.1469 0.00947409427347098 3.24178628532451
487501 487501 63585 63520 64018 0.1292 0.00676372270298978 -3.04343838133391
803611 803611 63599 63690 64219 -0.1633 0.00965446363225837 3.66005437642561
224811 224811 63506 63590 64111 -0.1526 0.00943675812263106 3.15520550106124
379411 379411 63781 63650 64174 0.2565 0.00612397544176769 -4.52698230219432
961311 961311 63566 63650 64171 -0.1592 0.00942793473687491 3.13474448294772
184431 184431 63672 63570 64084 0.2045 0.00642906185631359 -3.81950120290512
512531 512531 63778 63840 64405 -0.108 0.00973526900085397 3.84743823974047
874031 874031 63589 63680 64206 -0.1656 0.00960969379808741 3.55623522885258
537341 537341 63705 63600 64119 0.1958 0.00645674449071258 -3.75530647091428
280541 280541 63635 63740 64285 -0.1942 0.0101112234580384 4.71925900910324
718941 718941 63533 63610 64136 -0.1544 0.00940189597106149 3.0743618051768
844951 844951 63755 63830 64398 -0.1253 0.00998478213609118 4.42604750842084
62061 62061 63550 63630 64154 -0.1544 0.00941484552794837 3.10439122079425
426461 426461 63730 63830 64397 -0.1675 0.0103576253552184 5.2906534625184
451461 451461 63571 63640 64178 -0.1384 0.00945806974352582 3.20462615127505
266461 266461 63572 63670 64202 -0.1911 0.00981277841811782 4.02717894636194
708871 708871 63483 63580 64089 -0.1881 0.00945560080513036 3.19890079882797
710771 710771 63612 63680 64219 -0.1342 0.00945203133029166 3.19062335393901
877671 877671 63588 63660 64196 -0.1367 0.00947099507757493 3.23459939526677
997971 997971 63588 63670 64200 -0.1646 0.00953271028037383 3.37771405864506
332881 332881 63584 63660 64189 -0.1511 0.00942529093769961 3.12861363654596
301381 301381 63493 63600 64115 -0.2023 0.0097013179443188 3.7687073305478
501481 501481 63592 63690 64228 -0.1834 0.00990222332938905 4.2345975043013
371891 371891 63572 63650 64181 -0.154 0.00948878951714682 3.27586386680444
192802 192802 63563 63500 63991 0.128 0.00668844056195402 -3.21801413875038
874202 874202 63602 63670 64213 -0.1351 0.00951520720103406 3.33712523783283
424902 424902 63581 63510 64009 0.1406 0.00668655970254183 -3.22237576359208
978302 978302 63705 63590 64099 0.2305 0.00614674175884179 -4.47418827970623
157802 157802 63700 63550 64059 0.2902 0.00560420862017827 -5.73229720570937
657902 657902 63578 63660 64196 -0.1479 0.00962676802292978 3.59582955618103
232302 232302 63527 63610 64128 -0.1567 0.00937188123752495 3.0047590445658
127802 127802 63593 63670 64203 -0.153 0.00950111365512515 3.30444296527947
34302 34302 63532 63620 64137 -0.1681 0.00943293262859192 3.14633435964328
507912 507912 63618 63540 64050 0.1483 0.00674473067915691 -3.08747999465521
529712 529712 63579 63660 64182 -0.1466 0.00939515752080022 3.05873565477792
849622 849622 63848 63650 64186 0.366 0.00526594584488829 -6.51671273095319
287222 287222 63533 63620 64142 -0.1588 0.0094945589473356 3.28924290506252
25032 25032 63566 63650 64174 -0.1672 0.00947424190482127 3.24212863550798
